2019-12-26 20:10:47,271 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.longer.shiro:01_shiro_Authentication_ini:0.0.1-SNAPSHOT @ G:\学习文件2\shiro\01_shiro_Authentication_ini\pom.xml.
2019-12-26 20:10:47,483 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-core/1.4.2/shiro-core-1.4.2.pom
2019-12-26 20:10:47,655 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-core/1.4.2/shiro-core-1.4.2.pom
2019-12-26 20:10:47,952 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-root/1.4.2/shiro-root-1.4.2.pom
2019-12-26 20:10:48,220 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-root/1.4.2/shiro-root-1.4.2.pom
2019-12-26 20:10:48,405 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-lang/1.4.2/shiro-lang-1.4.2.pom
2019-12-26 20:10:48,697 [Worker-15] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-lang/1.4.2/shiro-lang-1.4.2.pom
2019-12-26 20:10:49,379 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-cache/1.4.2/shiro-cache-1.4.2.pom
2019-12-26 20:10:49,557 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-cache/1.4.2/shiro-cache-1.4.2.pom
2019-12-26 20:10:49,726 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-hash/1.4.2/shiro-crypto-hash-1.4.2.pom
2019-12-26 20:10:49,902 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-hash/1.4.2/shiro-crypto-hash-1.4.2.pom
2019-12-26 20:10:50,166 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto/1.4.2/shiro-crypto-1.4.2.pom
2019-12-26 20:10:50,354 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto/1.4.2/shiro-crypto-1.4.2.pom
2019-12-26 20:10:50,534 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-core/1.4.2/shiro-crypto-core-1.4.2.pom
2019-12-26 20:10:50,699 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-core/1.4.2/shiro-crypto-core-1.4.2.pom
2019-12-26 20:10:50,991 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-cipher/1.4.2/shiro-crypto-cipher-1.4.2.pom
2019-12-26 20:10:51,158 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-crypto-cipher/1.4.2/shiro-crypto-cipher-1.4.2.pom
2019-12-26 20:10:55,189 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-config-core/1.4.2/shiro-config-core-1.4.2.pom
2019-12-26 20:10:55,360 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/apache/shiro/shiro-config-core/1.4.2/shiro-config-core-1.4.2.pom
